timestamp,sensor_avg,machine_status
2025-04-15 13:30:00,65.000000,NORMAL
2025-04-15 13:31:00,65.199667,NORMAL
2025-04-15 13:32:00,65.397339,NORMAL
2025-04-15 13:33:00,65.591040,NORMAL
2025-04-15 13:34:00,65.778837,NORMAL
2025-04-15 13:35:00,65.958851,NORMAL
2025-04-15 13:36:00,66.129285,NORMAL
2025-04-15 13:37:00,66.288435,NORMAL
2025-04-15 13:38:00,66.434712,NORMAL
2025-04-15 13:39:00,66.566654,NORMAL
2025-04-15 13:40:00,66.682942,NORMAL
2025-04-15 13:41:00,66.782415,NORMAL
2025-04-15 13:42:00,66.864078,NORMAL
2025-04-15 13:43:00,66.927116,NORMAL
2025-04-15 13:44:00,66.970899,NORMAL
2025-04-15 13:45:00,66.994990,NORMAL
2025-04-15 13:46:00,66.999147,NORMAL
2025-04-15 13:47:00,66.983330,NORMAL
2025-04-15 13:48:00,66.947695,NORMAL
2025-04-15 13:49:00,66.892600,NORMAL
2025-04-15 13:50:00,66.818595,NORMAL
2025-04-15 13:51:00,66.726419,NORMAL
2025-04-15 13:52:00,66.616993,NORMAL
2025-04-15 13:53:00,66.491410,NORMAL
2025-04-15 13:54:00,66.350926,NORMAL
2025-04-15 13:55:00,66.196944,NORMAL
2025-04-15 13:56:00,66.031003,NORMAL
2025-04-15 13:57:00,65.854760,NORMAL
2025-04-15 13:58:00,65.669976,NORMAL
2025-04-15 13:59:00,65.478499,NORMAL
2025-04-15 14:00:00,65.282240,NORMAL
2025-04-15 14:01:00,65.083161,NORMAL
2025-04-15 14:02:00,64.883252,NORMAL
2025-04-15 14:03:00,64.684509,NORMAL
2025-04-15 14:04:00,64.488918,NORMAL
2025-04-15 14:05:00,64.298434,NORMAL
2025-04-15 14:06:00,64.114959,NORMAL
2025-04-15 14:07:00,63.940328,NORMAL
2025-04-15 14:08:00,63.776284,NORMAL
2025-04-15 14:09:00,63.624468,NORMAL
2025-04-15 14:10:00,19.500000,BROKEN
2025-04-15 14:11:00,19.500000,BROKEN
2025-04-15 14:12:00,19.668115,RECOVERING
2025-04-15 14:13:00,22.476466,RECOVERING
2025-04-15 14:14:00,25.074410,RECOVERING
2025-04-15 14:15:00,27.363001,RECOVERING
2025-04-15 14:16:00,29.276080,RECOVERING
2025-04-15 14:17:00,30.784844,RECOVERING
2025-04-15 14:18:00,31.898720,RECOVERING
2025-04-15 14:19:00,32.662646,RECOVERING
2025-04-15 14:20:00,33.151160,RECOVERING
2025-04-15 14:21:00,33.459986,RECOVERING
2025-04-15 14:22:00,33.696037,RECOVERING
2025-04-15 14:23:00,33.966852,RECOVERING
2025-04-15 14:24:00,34.370504,RECOVERING
2025-04-15 14:25:00,34.986917,RECOVERING
2025-04-15 14:26:00,35.871369,RECOVERING
2025-04-15 14:27:00,37.050702,RECOVERING
2025-04-15 14:28:00,38.522467,RECOVERING
2025-04-15 14:29:00,40.256955,RECOVERING
2025-04-15 14:30:00,42.201763,RECOVERING
2025-04-15 14:31:00,44.288319,RECOVERING
2025-04-15 14:32:00,46.439613,RECOVERING
2025-04-15 14:33:00,48.578310,RECOVERING
2025-04-15 14:34:00,50.634402,RECOVERING
2025-04-15 14:35:00,52.551649,RECOVERING
2025-04-15 14:36:00,54.292227,RECOVERING
2025-04-15 14:37:00,55.839185,RECOVERING
2025-04-15 14:38:00,57.196587,RECOVERING
2025-04-15 14:39:00,58.387446,RECOVERING
2025-04-15 14:40:00,59.449780,RECOVERING
2025-04-15 14:41:00,60.431324,RECOVERING
2025-04-15 14:42:00,61.383523,RECOVERING
2025-04-15 14:43:00,62.355513,RECOVERING
2025-04-15 14:44:00,63.388744,RECOVERING
2025-04-15 14:45:00,66.407000,NORMAL
2025-04-15 14:46:00,66.451880,NORMAL
2025-04-15 14:47:00,66.482252,NORMAL
2025-04-15 14:48:00,66.497815,NORMAL
2025-04-15 14:49:00,66.498412,NORMAL
2025-04-15 14:50:00,66.484037,NORMAL
2025-04-15 14:51:00,66.454835,NORMAL
2025-04-15 14:52:00,66.411096,NORMAL
2025-04-15 14:53:00,66.353258,NORMAL
2025-04-15 14:54:00,66.281898,NORMAL
2025-04-15 14:55:00,66.197731,NORMAL
2025-04-15 14:56:00,66.101596,NORMAL
2025-04-15 14:57:00,65.994454,NORMAL
2025-04-15 14:58:00,65.877376,NORMAL
2025-04-15 14:59:00,65.751531,NORMAL
2025-04-15 15:00:00,65.618178,NORMAL
2025-04-15 15:01:00,65.478648,NORMAL
2025-04-15 15:02:00,65.334335,NORMAL
2025-04-15 15:03:00,65.186682,NORMAL
2025-04-15 15:04:00,65.037163,NORMAL
2025-04-15 15:05:00,64.887273,NORMAL
2025-04-15 15:06:00,64.738510,NORMAL
2025-04-15 15:07:00,64.592359,NORMAL
2025-04-15 15:08:00,64.450281,NORMAL
2025-04-15 15:09:00,64.313696,NORMAL
2025-04-15 15:10:00,64.183968,NORMAL
